question,target,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,target_out_of_vocab
"Where did roger marquis die
",Holyoke,New York City,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,San Francisco,New York City,Los Angeles,San Francisco,New York City,Los Angeles,San Francisco,Los Angeles,San Francisco,Los Angeles,San Francisco,San Diego,San Francisco,Los Angeles,San Diego,Los Angeles,San Diego,London,Los Angeles,London,Chicago,London,Chicago,London,New Orleans,New Orleans,New Orleans,New York Harbor,False
"what was the cause of death of yves klein
",myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,myocardial infarction,tuberculosis,myocardial infarction,pancreatic cancer,myocardial infarction,tuberculosis,pancreatic cancer,myocardial infarction,tuberculosis,myocardial infarction,lung cancer,myocardial infarction,pulmonary embolism,lung cancer,myocardial infarction,lung cancer,cancer,pulmonary embolism,myocardial infarction,cancer,lung cancer,cancer,myocardial infarction,lung cancer,pulmonary embolism,cancer,cancer,myocardial infarction,cancer,myeloma,cancer,myocardial infarction,cancer,myeloma,cancer,myocardial infarction,cancer,myeloma,stroke,cancer,myocardial infarction,lung cirrhosis,myeloma,myocardial infarction,myeloma,myocardial infarction,False
"What position does carlos gomez play?
",center fielder,midfielder,midfielder,midfielder,midfielder,goalkeeper,midfielder,goalkeeper,defender,goalkeeper,midfielder,defender,goalkeeper,midfielder,defender,goalkeeper,midfielder,defender,goalkeeper,defender,midfielder,goalkeeper,defender,midfielder,goalkeeper,defender,forward,goalkeeper,midfielder,forward,defender,goalkeeper,forward,midfielder,defender,forward,goalkeeper,midfielder,defender,forward,goalkeeper,forward,defender,midfielder,goalkeeper,forward,forward,goalie,goal scorer,goalie,goal scorer,False
"how does engelbert zaschka identify 
",male,Germans,Germans,Germans,Germans,Germans,Germans,Germans,Germans,Germans,Germans,German,Germans,German,German people,German,Germans,German people,German,Germans,German,German people,Germans,Jewish people,German,German people,German,Germans,German people,Jewish people,German,Germans,German,German people,Germans,Jewish people,German,German,Germans,Jewish people,German people,German,male,Germans,Jewish people,German,male,Germans,Jewish people,German,male,False
"what position does pee wee reese play in baseball
",shortstop,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,catcher,pitcher,pitcher,catcher,pitcher,catcher,pitcher,catcher,pitcher,pitcher,catcher,shortstop,pitcher,catcher,shortstop,pitcher,catcher,pitcher,shortstop,pitcher,catcher,pitcher,catcher,pitcher,catcher,pitcher,catcher,catcher,defender,defender,defender,defender,defender,defender,defender,defender,defender,defender,False
"Which Swiss conductor's cause of death is myocardial infarction?
",Karl Anton Rickenbacher,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart,Paulo Coelho,Wolfgang Amadeus Mozart,Ignazio Salvatore,Axel Schröder,Claude Debussy,Paulo Coelho,Wolfgang Amadeus Mozart,Claude Debussy,Wolfgang Amadeus Mozart,Ignazio Salvini,Paulo Coelho,Claude Debussy,Axel Schütz,Jean-Paul Gélinas,Paulo Coelho,Jean-Paul Géricault,Ignazio Salvini,Carlo Giacometti,Claude Debussy,Johann Sebastian Bach,Wolfgang Schröder,Carlo Giacomini,Claude Boulez,Jacques-Louis Dubois,Ignazio Salieri,Jacques-Louis Bruyère,Wolfgang Schröder,Ignazio Salieri,Axel Schütze,Jacques-Louis Dubois,Johanna von St. Gallen,Jacques-Louis Géricault,Jacques-Louis Gélinas,Peter Schröder,"Wolfgang Amadeus Mozart, Jr.",Joseph Schenck,Jacques Lenoir,Jacques Lacan,Claude Boulezin,"Joseph Schenck, Jr.",Jacques Lenoir,Jacques Lennon,Jacques Lacan,Paulo Coetini,Johanna von Stallingen,Jacques Lennart,Wolfgang Schütz,False
"where was padraic mcguinness's place of death
",Sydney,Dublin,Dublin,Dublin,Dublin,Dublin,Los Angeles,Dublin,Dublin,Los Angeles,Dublin,Los Angeles,Dublin,Dublin,Dublin,Dublin,Dublin,Dublin,Dublin,London,Dublin,London,Dublin,London,Dublin,Newtown,London,Dublin,Newtown,London,Dublin,London,Dublin,Newtown,London,Dublin,Belfast,Newtown,London,Dublin,Belfast,Newtown,London,Newtown,Newtown,Newtown,Dublin City,Dublin City,Dublin City,Dublin City,Dublin City,False
"what is the place of birth of sam edwards?
",Swansea,New York City,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,San Francisco,New York City,Los Angeles,San Francisco,Los Angeles,San Francisco,Los Angeles,San Francisco,Los Angeles,San Francisco,San Diego,Los Angeles,London,Los Angeles,San Diego,London,Los Angeles,London,San Diego,London,London,London,Birmingham,London,London,Los Angeles County,Los Angeles County,Newtown,False
"Which home is an example of italianate architecture?
",John and Maria Adams House,Casa Loma,Mercado,La Scala,Casa Loma,La Casa del Sol,La Scala,Casa del Sol,La Casa del Sol,Casa Loma,Casa del Mar,La Scala,La Casa del Mar,Casa del Sol,La Casa del Monte,Villa Medici,Medici House,La Casa del Sol,Casa del Mar,La Scala,Villa Medici,Medici House,La Scala House,La Casa del Sol,La Scala,Casa del Mar,La Casa del Mar,Casa del Monte,Casa del Sol,La Casa del Monte,Villa Medici,La Scala Villa,La Casa del Sol,Medici House,La Scala,La Scala House,Villa Medici,Casa del Mar,La Casa del Mar,Casa del Monte,Casa del Sol,La Scala,La Scala Villa,Medici Home,Villa Medici,Casa del Sol,La Scala House,Casa del Mar,Casa del Monte,Villa Medici,La Scala Villa,False
"who published neo contra
",Konami,Sega,Sega,Sega,Sega,Sega,Sega,Namco,Sega,Konami,Namco,Sega,Konami,Namco,Sega,Konami,Namco,Sega,Konami,Nintendo,Namco,Sega,Nintendo,Konami,Namco,Nintendo,Sega,Nintendo,Namco,Sega,Nintendo,Namco,Sega,Nintendo,Namco,Nintendo,Nintendo of America,Sega,Nintendo,Sega,Nintendo,Sega,Nintendo,Nintendo,Nintendo,Nintendo Entertainment Software,Nintendo Entertainment Systems,Nintendo Entertainment Software,Nintendo Entertainment Systems,Sega Entertainment,Nintendo Entertainment System,False
